,0,1,2,3,4
212,ACFEEDC,BDEEECA,CAABDFF,EBAADFF,BCEEEDA
213,EFEDBAA,BABCDEF,EBADFCC,FFECAAA,AABDEFF
214,FFEDBAA,AABCEFF,DDAAFEE,FFEDBAA,AABCEFF
215,ABBCDEF,FFDBABC,ABBEFED,FECAACE,DBABCFF
216,ABFEDDD,EDBABEF,EEEEBAA,FEBAADF,CEEEDCA
217,FEBBBCD,BBDFFDA,EFDAACE,CEEDECA,EEDCAAF
218,AABEFEE,EEDDAAD,DEFEBAA,AACDEFE,EEEEBBA
219,FFEDBAA,AABDEEF,FEBEBAD,EEFECAA,BBABDFF
220,BBACFEE,FFEDBAA,BDEFDBA,AACEEEE,BBCDDBF
221,BAADFFE,ADFECCA,EDBABEF,FFECAAC,CDEFBCA
222,ABDFEED,FEBAADF,ACCFFCD,FECAACF,CEFDDBA
223,FDAABDE,DEFECBA,ABDFFDB,ABDEEEE,EEDBABF
224,ABEEEDD,EDCAADF,EFFDBAA,BAABDFF,EEEEDBA
225,FEEDAAD,AABCEFF,BBBBCFF,FFECBAA,ACFFDBC
226,AACEFEE,DEEEDAA,BAABEFF,DBABCEF,DBAAEEE
227,FFEDBAA,AABCEFF,EDBADFE,EEEECAA,AABCEFF
228,ACEFEDA,DCBACEF,BCDCADF,FFEDCAA,ABCDDEF
229,BDEFEBA,ABEFEEB,ECAACFF,EBABDFF,BCEFFCA
230,ABDEEEE,FECAACE,CEEFCAA,EDBABEF,CDEEECA
231,EBABCEF,EEEEDBA,ABDEFEC,AACEEEE,FEEDBAC
232,CAFCCFC,AEFBADE,BBDBBFF,DDEFDAA,EBADEEA
233,DFEDACB,ACCCDFE,CCDABFE,AADFFBD,DABCDEF
234,FFECAAB,AACDEEF,FEACEBB,EFEECAA,CBABCFF
235,AABEFEE,FEDCABC,BDEFDBA,EDAADDF,DEEFCAA
236,FFEDBAA,AABCDFF,EDDFCAB,FFEDBAA,BBBBDEF
237,EBABDEF,EEEECAA,BDEFDBA,AABDEFF,FFEDBAA
238,FECDCBA,ABDEFEB,DAABEFE,FBABDEE,BCCDBBF
239,FFDCBAA,AABDEFF,EEBABEF,EEEDCAA,AABCEEF
240,FBBBCEE,CDEEBAF,FDAACDE,ACEFEDC,EEEEDAA
241,FDAABEF,DEEEDBA,AACEFEC,ABCEEEE,FFECAAC
242,CFFECAA,AABCEFF,FECBABE,FFEDBAA,AABDEFE
243,CFDECBA,CDCBADF,DEFFCAA,CBAADFF,EECECBA
244,EEDBACF,ECAACFF,CAABEFE,CEDAADF,EABFEBD
245,DBFEEAA,CEABFDC,FECDACB,ECBFFAB,EBADDEE
246,FFDCBBA,AABCEFF,EDAACFF,FFECBAA,BBBCDEF
247,DFEADDA,ABBCEFE,FCEEAAE,EFEBABB,ACEAEEF
248,EFEDBAA,AABDEFF,EBABEEE,FFEBAAB,AACDEFF
249,DFEDBBA,EEECAAE,ACDFFCB,FEBABDD,BAACEFF
250,CDEDFCA,AEFDCCD,CBAAEFE,DEFFCAA,AACDEFF
251,FEEECAA,AABDEFF,EDCAADF,FFEDBAA,AABCEFF
252,CFFECAA,AABCEFF,FECBABD,EFEDBAA,AABDEFF
253,AAADFEE,FFCADCA,ABDFFDB,AABDEEF,EEEEBAA
254,ABDEEEE,FFECBAB,ACEFECA,DBABDEF,DDEEECA
255,BFFECBA,AABCEFF,FEBBABE,EFEDBAA,AABDEFF
256,DFECAEA,ACECCEE,ECEFAAD,FFDCCAA,BCACDFE
257,ABDEEEE,FFECAAB,ABCEFEC,FEBABDE,CDEEECA
258,DCCABEF,EEDCFBA,EFFDBAA,AADFDDE,FFEBABB
259,DFFDAAB,EDAACEF,EEEEBAA,DCBACEF,FFDCBAA
260,DEEECAD,ECAADEE,DCAAEFE,EFFDCAA,BDACEFF
261,DFECBBB,EFEDBAA,ACEFECA,CAABDFF,CCBEEDC
262,AADBEFE,EFCCACE,EFFDBAA,AACDEFE,EEFEBAA
263,EAACEEE,FECCABD,ABBCEFF,FFEDBAA,DEDDDAC
264,FEDBBBB,ADFEDBA,CEFFCAA,AEFFEBA,BBBCDEF
265,FCABBDE,ABBCDFF,DFFCABB,FEECABA,DCBAEDE
