,0,1,2,3,4,5,6,7,8,9,10,11
470,ABDFGGG,HGFDCBA,HGECBBB,ABCDFGH,ABEGGGF,HGFECBA,DCGFACH,ABDFGGG,GGGFDBA,HGDBBBC,ABCDFGH,ABCEFGH
471,BBBDHGF,ABCEGHG,DDGEABH,HGEDBAD,HGFCABD,ABCEFGH,DFHGDBA,HGFECBA,AACEGGG,ACCEHHE,ABGHDDF,HGEDCAB
472,HGFECBA,DBBBCGH,ABCEFGH,BCCEHGB,HGFECBA,CABCFGH,EGHGDBA,DCBBDGH,ABDFGGG,BBGFBEG,HGEDDAA,HGDFCBA
473,BEEEBBH,HGDBADG,HGGECBA,ABDGGGF,BABDFGH,HHFDBBB,ABBDFGH,HGFECBA,HGEDCCA,DBACFGH,GGGFBAB,CEFHGCA
474,ABDGFGG,GEGGEBA,ABDGGGF,HGFCBAD,EHGFCBA,BCEHHEB,DCBBDGH,GHGECAA,GGFFDAA,ABCDGHE,BACFGHE,BADFHGD
475,ACFEEEG,ACEHGEB,HHFDBBB,BADDDHG,ABBEFGH,ABCDEGH,HFDBCCC,ABEEGFG,GFGFDAA,HHEDBBB,BBCEGHF,ACGGGFC
476,GGGFCBA,HGFDBBB,DGGCACF,ACBCFGH,ABDDFGH,ABCEGGF,HGDBBCD,AAEGFFG,FFGGEAA,HGDDCBB,HGEFBDA,CCFBFGE
477,ADFHFEB,FGFFEBA,CDBBEHG,ACGEDEH,HGDBBCD,GECABFH,ACGHFDB,HGDCCCA,HGCBBDD,AADFGGG,AEECBFH,BACDEHH
478,GGGECBA,HGFCBBB,EDABDHG,AADDGGH,ACFEGFF,HGFDCBA,HFDBCCC,ABGGFEE,GGFFEBA,HGECBCB,ABCDFGH,ACBEFGH
479,ABDFGGG,HGFDCBA,HHFDBBB,ABCDFGH,ABEFGGG,HGFECBA,EDHFABF,ABDFGGG,GGGFDBA,HGDCBBB,ABCDFGH,ABCEFGH
480,HHFDBBB,HFGBACC,BBAFGEH,BBADGGH,ACEFGFF,GGGEDCA,DCBBDFH,HHFDBBB,HGFECBA,BBBDFHH,ACDFFCH,FEFAFFB
481,HGGEBAB,CGABEFH,GHGCCAB,EDBEBDH,ABDEGGG,ABEGHFC,HHDCBBC,ADFEFFF,GGGFDAA,GHDBEBB,CDBCFFH,GHGCCAB
482,HGFCBBC,CABEFGH,EBADHGE,HFFDCDA,HGECBBB,ABCEFGH,GHGECBA,CBBBEGH,ABCDFGH,HGFCCBB,BACGHGD,CFFGECA
483,HGFDCBA,EGGGCAB,HGECCBB,ABCEGHG,GGGEDAA,HEABCFG,ABCFHGF,HGFECBA,CBABFGH,ABCDEGH,HFABCFD,EFGGFAA
484,BBDCEGH,ACCCFGH,ACDEGGD,HGFDCBA,AABEFGH,ABDFFGH,GHGECBA,GGGFDBA,HGCBBCF,ABCEFGH,HGFEDAA,HGFDCBA
485,HHFBABC,AACDGGH,ACCEGGF,HGFEDBA,HGFEDBA,AACDFGH,ABDGHGF,HGFECBA,ABCEFGH,ACFEEGG,HGFECBB,HHFDBAB
486,CCFFHBB,HFBACFE,EBACGHG,AAEHGEE,EDEGHBA,FGGFDBA,ABBDFHH,HGFDBAB,FGGGDBA,ABDEFEH,HGCABDE,BEFBBFH
487,CCBBEHG,HHFCDBA,HHFDBAB,HGDCBBE,ABCEFGH,BBBCFGH,FGGECBA,BABDFGH,ABCEFHH,HGCBBDB,HHFDBAB,BADEEGH
488,ABEGGGF,HGFECAA,CCABFHG,BBDHHEC,HHECBBC,HGFECAA,ABCDGHG,HGFCBBB,GGGECAA,HHFDCBA,ACCEFGH,ACCCEHH
489,DFHGDBA,HHFDCBA,HHEABEC,ABCDFGH,BDBGGFE,GGGFBAB,ABDHGFE,DBCHGEB,HGFDCBA,HHEDBBB,ABCCGHG,ABCDFGH
490,HGFDBAB,GHCADDD,HDCACEG,ABCEFGH,ABDEFGG,HGEEDBA,DABCFHG,FFAAGFD,HGGECBA,CCAEFGH,DHDCBFC,DFFCEBE
491,ABEFGEH,HHEBDBB,ABBFFFH,GGGEBAA,DFGHDAA,GGGDAAE,ABDGHGF,HGEDBBB,HGFEDBA,ABDEFGG,ABDDCGH,ABCEFGH
492,GHGEBBA,HGFDBBB,DEDBBFH,AACDFGH,ABFGEGF,GGGFDBA,HECBBBG,GDAADGG,HGGECBA,HEEDCBB,ABCDEGH,ABEGGDF
493,BACEHGF,AACEFGH,GEFHEAA,FHGDDBA,HHFDBAB,ABCEFGH,ABBDFHH,HGFECBA,HGFECAA,ABEFEGG,EGCADGF,GHFEDAA
494,FGGFDAA,HHFCCBB,GGGCCAB,ABBDFHH,ABEEGFG,GGGFBAB,DCBBDGH,ABDGFGG,EFHGFAA,HGEDCBA,HGFECCA,ABCDFGH
495,HGEBBBC,DFAEDDH,AAGFEFF,BACDEGH,ACEDEHF,ABCGFGE,GGEGCBA,HGFECAB,HGFDBBB,AEBGGDF,CDACEHH,GHEDBAC
496,AEGFDDG,FBFHFBA,HGGCBBB,HGFEDBA,AACEFGH,ABCEGGG,HHFDBBA,HGFEDBA,CBBCEGH,ABCEFHG,GCBBBFH,EEGGFDA
497,BEFDBDH,HGFECBA,HGFECAB,GFEHDAB,ABCDFGH,BEFGGBA,ACGHGDB,ADHGFDC,HGFDCAA,HGCCBBC,EDBBBGH,ABCEFGH
498,BCCBFHG,GEBABFH,GGGECBA,AACDFHH,HGCBBCE,ABDEFGH,HHFDCBA,DFGCABH,CEGHFBA,AADEGHF,EBBCEGH,HHEABCE
499,ACGGGEC,HGFDBBB,BBBDFGH,GGGECAA,AACEFGH,ABDFGGG,EGHFCAA,FGFGEBA,HGDBBBE,ABDEGGH,HHFDCBA,CBBCFHH
